# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-04 23:06:51 207048866 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137099 -1.000000000  0.000000000  0.000000000000000000 -30.000000000   0.000000000  30.000000000  0.000000996889426     0.421053  0.000000000000000 
     1     0.001000  0.000137099  0.000137095 -0.999999950 -0.000317365 -0.000000000000000056 -30.000001511   8.424902254  30.000001511  0.000000996963954     0.421098  8.424902253707392 
     2     0.002000  0.000274194  0.000137082 -0.999999799 -0.000634720 -0.000000000000000111 -30.000006043   1.458258689  30.000006043  0.000000996914153     0.421235  1.458258689380888 
     3     0.003000  0.000411277  0.000137061 -0.999999547 -0.000952042  0.000000000000000000 -30.000013596   1.671938267  30.000013596  0.000000996740140     0.421462  1.671938267116414 
     4     0.004000  0.000548338  0.000137031 -0.999999194 -0.001269312  0.000000000000000000 -30.000024167   1.909631418  30.000024167  0.000000996442157     0.421780  1.909631417548711 
     5     0.005000  0.000685369  0.000136993 -0.999998741 -0.001586508  0.000000000000000000 -30.000037755   2.172821961  30.000037755  0.000000996020569     0.422190  2.172821960599437 
     6     0.006000  0.000822361  0.000137246 -0.999998188 -0.001903610  0.000000000000000000 -30.000054356   2.462903695  30.000054356  0.000000999852571     0.422690  2.462903695324144 
     7     0.007000  0.000959608  0.000137191 -0.999997533 -0.002221294  0.000000000000000000 -30.000074012   2.833515812  30.000074012  0.000000999180827     0.423283  2.833515811912317 
     8     0.008000  0.001096799  0.000137127 -0.999996777 -0.002538841  0.000000000000000000 -30.000096686   3.143658332  30.000096686  0.000000998386241     0.423967  3.143658332056036 
     9     0.009000  0.001233926  0.000137055 -0.999995921 -0.002856231  0.000000000000000000 -30.000122372   3.524068674  30.000122372  0.000000997469673     0.424742  3.524068674356038 
    10     0.010000  0.001370980  0.000136974 -0.999994965 -0.003173444  0.000000000000000000 -30.000151062   3.935736792  30.000151062  0.000000996432101     0.425609  3.935736792037622 
    11     0.011000  0.001507954  0.000137185 -0.999993908 -0.003490459  0.000000000000000000 -30.000182751   4.379175729  30.000182751  0.000000999648435     0.426567  4.379175729411232 
    12     0.012000  0.001645139  0.000137088 -0.999992750 -0.003807952  0.000000000000000888 -30.000217510   4.955417460  30.000217510  0.000000998363694     0.427619  4.955417459711550 
    13     0.013000  0.001782227  0.000136982 -0.999991491 -0.004125205 -0.000000000000000888 -30.000255263   5.387416895  30.000255263  0.000000996960530     0.428762  5.387416894815582 
    14     0.014000  0.001919208  0.000137168 -0.999990133 -0.004442200  0.000000000000000000 -30.000296002   5.930245760  30.000296002  0.000000999812919     0.429998  5.930245759645139 
    15     0.015000  0.002056377  0.000137046 -0.999988673 -0.004759611  0.000000000000000000 -30.000339814   6.648218946  30.000339814  0.000000998166403     0.431328  6.648218946098662 
    16     0.016000  0.002193422  0.000136915 -0.999987113 -0.005076723  0.000000000000000000 -30.000386604   7.142155143  30.000386604  0.000000996405077     0.432750  7.142155142594871 
    17     0.017000  0.002330338  0.000137077 -0.999985455 -0.005393515  0.000000000000000000 -30.000436360   7.779978608  30.000436360  0.000000998897238     0.434264  7.779978608021238 
    18     0.018000  0.002467415  0.000136930 -0.999983694 -0.005710664  0.000000000000000000 -30.000489187   8.645245264  30.000489187  0.000000996898429     0.435873  8.645245263800879 
    19     0.019000  0.002604345  0.000137076 -0.999981835 -0.006027453  0.000000000000000000 -30.000544968   9.179167870  30.000544968  0.000000999155059     0.437575  9.179167870394854 
    20     0.020000  0.002741421  0.000136913 -0.999979873 -0.006344558  0.000000000000000000 -30.000603820  10.143928699  30.000603820  0.000000996923081     0.439374 10.143928699237303 
    21     0.021000  0.002878334  0.000137043 -0.999977814 -0.006661266  0.000000000000000000 -30.000665609  10.688513312  30.000665609  0.000000998946864     0.441265 10.688513312098301 
    22     0.022000  0.003015376  0.000136864 -0.999975652 -0.006978250  0.000000000000000000 -30.000730466  11.750253098  30.000730466  0.000000996486863     0.443253 11.750253097606604 
    23     0.023000  0.003152240  0.000136978 -0.999973393 -0.007294798  0.000000000000000000 -30.000798243  12.288205270  30.000798243  0.000000998281327     0.445334 12.288205269502166 
    24     0.024000  0.003289218  0.000137084 -0.999971031 -0.007611584  0.000000000000000000 -30.000869081  13.442486204  30.000869081  0.000000999962444     0.447513 13.442486203927766 
    25     0.025000  0.003426302  0.000136882 -0.999968568 -0.007928588  0.000000000000000000 -30.000942982  14.344741313  30.000942982  0.000000997162467     0.449791 14.344741313113113 
    26     0.026000  0.003563184  0.000136973 -0.999966009 -0.008245100  0.000000000000000000 -30.001019777  14.837496214  30.001019777  0.000000998620068     0.452162 14.837496214364254 
    27     0.027000  0.003700157  0.000137056 -0.999963347 -0.008561793  0.000000000000001776 -30.001099625  16.122241213  30.001099625  0.000000999966559     0.454633 16.122241213109735 
    28     0.028000  0.003837213  0.000136832 -0.999960584 -0.008878648 -0.000000000000001776 -30.001182526  17.056686213  30.001182526  0.000000996839919     0.457203 17.056686212735872 
    29     0.029000  0.003974044  0.000136900 -0.999957726 -0.009194955  0.000000000000001776 -30.001268288  17.454098253  30.001268288  0.000000997970391     0.459867 17.454098252750459 
