# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-04 22:48:11 35239337 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137238 -1.000000000  0.000000000  0.000000000000000000 -30.000000000   0.000000000  30.000000000  0.000000998899853     0.421053  0.000000000000000 
     1     0.001000  0.000137238  0.000137233 -0.999999950 -0.000317685  0.000000000000000056 -30.000001514   8.434764350  30.000001514  0.000000998971771     0.421098  8.434764350354023 
     2     0.002000  0.000274471  0.000137220 -0.999999798 -0.000635359  0.000000000000000111 -30.000006055   1.461492458  30.000006055  0.000000998913314     0.421235  1.461492458181687 
     3     0.003000  0.000411690  0.000137197 -0.999999546 -0.000952999  0.000000000000000000 -30.000013623   1.675821437  30.000013623  0.000000998724616     0.421463  1.675821436725820 
     4     0.004000  0.000548887  0.000137166 -0.999999193 -0.001270585  0.000000000000000000 -30.000024216   1.914239064  30.000024216  0.000000998405945     0.421782  1.914239064482752 
     5     0.005000  0.000686053  0.000137126 -0.999998739 -0.001588093  0.000000000000000444 -30.000037831   2.178228249  30.000037831  0.000000997957708     0.422192  2.178228248896350 
     6     0.006000  0.000823179  0.000137077 -0.999998185 -0.001905504  0.000000000000000000 -30.000054464   2.469179719  30.000054464  0.000000997380449     0.422693  2.469179719253416 
     7     0.007000  0.000960256  0.000137019 -0.999997530 -0.002222794 -0.000000000000000444 -30.000074112   2.788362551  30.000074112  0.000000996674842     0.423286  2.788362550968662 
     8     0.008000  0.001097274  0.000137223 -0.999996774 -0.002539942 -0.000000000000000444 -30.000096770   3.136894346  30.000096770  0.000000999785089     0.423969  3.136894346449523 
     9     0.009000  0.001234497  0.000137147 -0.999995917 -0.002857554  0.000000000000000000 -30.000122485   3.577648097  30.000122485  0.000000998819514     0.424746  3.577648097391920 
    10     0.010000  0.001371645  0.000137063 -0.999994960 -0.003174982 -0.000000000000000888 -30.000151209   3.942370107  30.000151209  0.000000997727413     0.425613  3.942370106828498 
    11     0.011000  0.001508707  0.000136970 -0.999993902 -0.003492203  0.000000000000000000 -30.000182934   4.386457735  30.000182934  0.000000996509987     0.426573  4.386457734528205 
    12     0.012000  0.001645677  0.000137139 -0.999992745 -0.003809196  0.000000000000000000 -30.000217652   4.862534626  30.000217652  0.000000999107287     0.427623  4.862534626099306 
    13     0.013000  0.001782816  0.000137028 -0.999991486 -0.004126568  0.000000000000000000 -30.000255432   5.473121858  30.000255432  0.000000997634486     0.428768  5.473121858075691 
    14     0.014000  0.001919844  0.000137180 -0.999990127 -0.004443670  0.000000000000000000 -30.000296197   5.935225037  30.000296197  0.000000999979901     0.430004  5.935225036975453 
    15     0.015000  0.002057023  0.000137052 -0.999988666 -0.004761108  0.000000000000000000 -30.000340028   6.638936085  30.000340028  0.000000998254576     0.431334  6.638936084519306 
